ticket_text,category,priority
How do I delete my account permanently? I want all my data removed.,Account Access,Low
"Good morning, All my saved data has disappeared after I logged in today. Everything is gone. This is my second time contacting support.",Account Access,High
"Dear support, When does my current billing cycle end? I can't find this info in my dashboard. I have been a customer for 3 years. Please help.",Billing,Low
"Good morning, What are the differences between the Basic, Pro, and Enterprise plans? This is my second time contacting support. Urgent!",General Inquiry,Low
The loading spinner disappears too quickly before content finishes loading.,Technical Issue,Low
"Hi there, The website is down and I cannot access any of my data. This is urgent for my business. Thank you.",Technical Issue,High
"Dear support, Is there a student discount available for the premium plan? Thank you.",Billing,Low
I forgot my email address associated with the account. How do I recover it? I already tried the FAQ. This is very important to me.,Account Access,Medium
How do I enable two-factor authentication on my account for better security? This is my second time contacting support. This is very important to me.,Account Access,Medium
The system is extremely slow today. Every action takes several minutes. This is my second time contacting support. This is very important to me.,Technical Issue,Medium
The website is down and I cannot access any of my data. This is urgent for my business.,Technical Issue,High
"Dear support, My invoice shows tax charges I don't think I should be paying. Can you explain? I already tried the FAQ. Looking forward to your response.",Billing,Medium
Dark mode toggle does not save my preference. Resets every time I reload.,Technical Issue,Medium
"Dear support, Can I merge two accounts I accidentally created with different emails? This is my second time contacting support. Thank you.",Account Access,Medium
"Good morning, Is there a student discount available for the premium plan? Urgent!",Billing,Low
"Good morning, Dark mode toggle does not save my preference. Resets every time I reload. This is my second time contacting support. Thank you.",Technical Issue,Medium
What payment methods do you accept? Does the platform support PayPal?,Billing,Low
"Hello, How do I change the language preference on my account? I already tried the FAQ. Thank you.",Account Access,Low
What is your refund policy for annual subscriptions?,Refund Request,Low
"Good morning, My account has been suspended without any reason or prior notice. This is my second time contacting support. Urgent!",Account Access,High
The features promised at signup are not available. I want a partial refund. Looking forward to your response.,Refund Request,Medium
"Dear support, What are your customer support hours and how can I reach a live agent? This is my second time contacting support. Please help.",General Inquiry,Low
"Dear support, What is your refund policy for annual subscriptions? This is my second time contacting support. Urgent!",Refund Request,Low
Cannot connect to the API. Getting timeout errors on every single request.,Technical Issue,High
"To whom it may concern, Two-factor authentication is not sending codes to my phone. I cannot log in. I already tried the FAQ. This is very important to me.",Account Access,High
"Hi there, I cancelled within the 30-day trial but was charged anyway. Please refund. I have been a customer for 3 years. Urgent!",Refund Request,Medium
Can I export my data to CSV or Excel format?,General Inquiry,Low
"To whom it may concern, I was charged twice for the same subscription this month. Please refund immediately. I have been a customer for 3 years. Please help.",Billing,High
I'd like a pro-rated refund since I'm cancelling halfway through the billing period. I have been a customer for 3 years. Please help.,Refund Request,Medium
"Dear support, I need a copy of all my invoices from last year for accounting purposes. This is my second time contacting support. Please help.",Billing,Medium
My account has been suspended without any reason or prior notice.,Account Access,High
"Hi there, Can multiple team members share one account, or do we each need our own?",General Inquiry,Medium
"Hi there, The service was down for 3 days and I want compensation for the downtime I experienced. This is my second time contacting support. Looking forward to your response.",Refund Request,High
